Time (s),Altitude (m),Velocity (m/s),Reference (m),Position Error (m),Integral Error,Action,Thrust (N),PWM
2.9087066650390625e-05,0.02942305989563465,0.004940201994031668,1.0,0.9702359903603792,0.009702359903603793,1.0,0.6000000238418579,55740
0.09792256355285645,0.029471496120095253,0.005125769414007664,1.0,0.9705285038799047,0.01940764494240284,1.0,0.6000000238418579,55740
0.1087193489074707,0.02953132800757885,0.005282117519527674,1.0,0.9704686719924212,0.029112331662327053,1.0,0.6000000238418579,55740
0.11947131156921387,0.0295872762799263,0.005390460602939129,1.0,0.9704127237200737,0.03881645889952779,1.0,0.6000000238418579,55740
0.1303727626800537,0.029646389186382294,0.005432120058685541,1.0,0.9703536108136177,0.04851999500766397,1.0,0.6000000238418579,55740
0.14130330085754395,0.028629371896386147,-0.0004988334840163589,1.0,0.9713706281036139,0.05823370128870011,1.0,0.6000000238418579,55740
0.15201854705810547,0.02863810956478119,-0.00018527051724959165,1.0,0.9713618904352188,0.0679473201930523,1.0,0.6000000238418579,55740
0.1628556251525879,0.028643246740102768,0.0010124508989974856,1.0,0.9713567532598972,0.07766088772565127,1.0,0.6000000238418579,55740
0.17351365089416504,0.02803335338830948,-0.0007765379268676043,1.0,0.9719666466116905,0.08738055419176818,1.0,0.6000000238418579,55740
0.18442821502685547,0.02803156152367592,0.0007219312246888876,1.0,0.9719684384763241,0.09710023857653143,1.0,0.6000000238418579,55740
0.19521450996398926,0.02803812548518181,0.0008715079165995121,1.0,0.9719618745148182,0.1068198573216796,1.0,0.6000000238418579,55740
0.2060236930847168,0.02804301492869854,-0.0003838311822619289,1.0,0.9719569850713015,0.11653942717239262,1.0,0.6000000238418579,55740
0.21685194969177246,0.026912055909633636,-0.006766602862626314,1.0,0.9730879440903664,0.12627030661329627,1.0,0.6000000238418579,55740
0.2277381420135498,0.02683820016682148,0.00034517882158979774,1.0,0.9731617998331785,0.13600192461162805,1.0,0.6000000238418579,55740
0.23850274085998535,0.02683820016682148,0.00034517882158979774,1.0,0.9731617998331785,0.14573354260995983,1.0,0.6000000238418579,55740
0.24940848350524902,0.026840461418032646,-0.0010230699554085732,1.0,0.9731595385819674,0.1554651379957795,1.0,0.6000000238418579,55740
0.26004958152770996,0.026882346719503403,-0.0019176778150722384,1.0,0.9731176532804966,0.16519631452858446,1.0,0.6000000238418579,55740
0.27069854736328125,0.026928497478365898,0.002499009482562542,1.0,0.9730715025216341,0.1749270295538008,1.0,0.6000000238418579,55740
0.28161096572875977,0.027107303962111473,0.014405779540538788,1.0,0.9728926960378885,0.18465595651417968,1.0,0.6000000238418579,55740
0.29227185249328613,0.02710922621190548,0.01441420242190361,1.0,0.9728907737880945,0.19438486425206064,1.0,0.6000000238418579,55740
0.3029780387878418,0.02725890465080738,0.01808684691786766,1.0,0.9727410953491926,0.20411227520555256,1.0,0.6000000238418579,55740
0.31357455253601074,0.02713174745440483,0.03759889304637909,1.0,0.9728682525455952,0.2138409577310085,1.0,0.6000000238418579,55740
0.3243732452392578,0.027534106746315956,0.0449349544942379,1.0,0.972465893253684,0.22356561666354535,1.0,0.6000000238418579,55740
0.33507728576660156,0.028120078146457672,0.05735350772738457,1.0,0.9718799218535423,0.23328441588208076,1.0,0.6000000238418579,55740
0.34609198570251465,0.02453506551682949,0.05228803679347038,1.0,0.9754649344831705,0.24303906522691246,1.0,0.6000000238418579,55740
0.3570287227630615,0.02514626458287239,0.06875092536211014,1.0,0.9748537354171276,0.25278760258108374,1.0,0.6000000238418579,55740
0.3678703308105469,0.025898128747940063,0.08095482736825943,1.0,0.9741018712520599,0.2625286212936043,1.0,0.6000000238418579,55740
0.3786795139312744,0.02677278406918049,0.09085580706596375,1.0,0.9732272159308195,0.27226089345291254,1.0,0.6000000238418579,55740
0.3895528316497803,0.027688803151249886,0.10222945362329483,1.0,0.9723111968487501,0.28198400542140006,1.0,0.6000000238418579,55740
0.40041065216064453,0.02475765161216259,0.09450609982013702,1.0,0.9752423483878374,0.29173642890527846,1.0,0.6000000238418579,55740
0.41124725341796875,0.025757508352398872,0.10864962637424469,1.0,0.9742424916476011,0.3014788538217545,1.0,0.6000000238418579,55740
0.4221515655517578,0.026913868263363838,0.12034093588590622,1.0,0.9730861317366362,0.3112097151391208,1.0,0.6000000238418579,55740
0.43297839164733887,0.025193942710757256,0.11993827670812607,1.0,0.9748060572892427,0.3209577757120132,1.0,0.6000000238418579,55740
0.44363999366760254,0.026405517011880875,0.12924157083034515,1.0,0.9735944829881191,0.33069372054189444,1.0,0.6000000238418579,55740
0.4545755386352539,0.027776530012488365,0.1390477567911148,1.0,0.9722234699875116,0.34041595524176954,1.0,0.6000000238418579,55740
0.4654390811920166,0.02926282212138176,0.14949463307857513,1.0,0.9707371778786182,0.3501233270205557,1.0,0.6000000238418579,55740
0.47635889053344727,0.030796702951192856,0.1592581868171692,1.0,0.9692032970488071,0.3598153599910438,1.0,0.6000000238418579,55740
0.48720550537109375,0.030456269159913063,0.15911619365215302,1.0,0.9695437308400869,0.3695107972994447,1.0,0.6000000238418579,55740
0.4979393482208252,0.0306626595556736,0.16043777763843536,1.0,0.9693373404443264,0.37920417070388795,1.0,0.6000000238418579,55740
0.5086138248443604,0.032308634370565414,0.16924531757831573,1.0,0.9676913656294346,0.3888810843601823,1.0,0.6000000238418579,55740
0.519402265548706,0.03423299640417099,0.1778372973203659,1.0,0.965767003595829,0.3985387543961406,1.0,0.6000000238418579,55740
0.5300924777984619,0.03908330947160721,0.20118193328380585,1.0,0.9609166905283928,0.4081479213014245,1.0,0.6000000238418579,55740
0.5408914089202881,0.041179195046424866,0.20654873549938202,1.0,0.9588208049535751,0.4177361293509603,1.0,0.6000000238418579,55740
0.5517618656158447,0.04320795461535454,0.20972198247909546,1.0,0.9567920453846455,0.42730404980480674,1.0,0.6000000238418579,55740
0.5627186298370361,0.05347064137458801,0.251755028963089,1.0,0.9547052681446075,0.4368511024862528,1.0,0.6000000238418579,55740
0.5733458995819092,0.05604035407304764,0.2555389404296875,1.0,0.9439596459269524,0.4462906989455223,1.0,0.6000000238418579,55740
