Time (s),Altitude (m),Velocity (m/s),Reference (m),Position Error (m),Integral Error,Action,Thrust (N),PWM
3.0517578125e-05,0.025566600263118744,-0.00025015510618686676,1.0,0.9745212290436029,0.009745212290436029,1.0,0.6000000238418579,54580
0.1036374568939209,0.025563769042491913,-0.00031568939448334277,1.0,0.9744362309575081,0.01948957460001111,1.0,0.6000000238418579,54580
0.1145026683807373,0.025560347363352776,-0.0003684713738039136,1.0,0.9744396526366472,0.02923397112637758,1.0,0.6000000238418579,54580
0.12585139274597168,0.02490352652966976,-0.0039617810398340225,1.0,0.9750590119510889,0.03898456124588847,1.0,0.6000000238418579,54580
0.13681840896606445,0.024864520877599716,-0.004182111471891403,1.0,0.9751354791224003,0.04873591603711247,1.0,0.6000000238418579,54580
0.14776039123535156,0.024824708700180054,-0.0037801864091306925,1.0,0.97517529129982,0.05848766895011067,1.0,0.6000000238418579,54580
0.15857768058776855,0.02479000762104988,-0.0031594489701092243,1.0,0.9752099923789501,0.06823976887390017,1.0,0.6000000238418579,54580
0.16955208778381348,0.02483968622982502,-0.003878278424963355,1.0,0.975160313770175,0.07799137201160192,1.0,0.6000000238418579,54580
0.18044519424438477,0.02480844408273697,-0.0023698476143181324,1.0,0.975191555917263,0.08774328757077454,1.0,0.6000000238418579,54580
0.19132018089294434,0.024784041568636894,-0.0019134808098897338,1.0,0.9752159584313631,0.09749544715508818,1.0,0.6000000238418579,54580
0.20229816436767578,0.02476128377020359,-0.002637570956721902,1.0,0.9752387162297964,0.10724783431738615,1.0,0.6000000238418579,54580
0.2133188247680664,0.024829097092151642,-0.001897741574794054,1.0,0.9751709029078484,0.11699954334646463,1.0,0.6000000238418579,54580
0.22425317764282227,0.024809950962662697,-0.001931391074322164,1.0,0.9751900490373373,0.126751443836838,1.0,0.6000000238418579,54580
0.23516178131103516,0.0248201172798872,-0.00029334492865018547,1.0,0.9751798827201128,0.13650324266403913,1.0,0.6000000238418579,54580
